PERMNO,CUSIP,TICKER_CRDS,TICKER
79323,2000210,ALL,ALL
79411,71676810,PETM,PETM
79545,9972410,BWA,BWA
79547,29476L10,EQR,EQR
79588,49271M10,GMCR,GMCR
79637,91390310,UHS,UHS
79678,00507V10,ATVI,ATVI
79698,36665110,IT,IT
79782,75884910,REG,REG
79785,62944T10,NVR,NVR
79879,92555010,VIAV,VIAV
79881,91704710,URBN,URBN
79906,45337C10,INCY,INCY
79915,65129010,NFX,NFX
80080,27743210,EMN,EMN
80100,82880610,SPG,SPG
80183,59522J10,MAA,MAA
80191,1265310,ALB,ALB
80204,57328410,MLM,MLM
80266,74727710,QLGC,QLGC
80286,89235610,TSCO,TSCO
80303,154710,AKS,AKS
80320,21720410,CPRT,CPRT
80381,5348410,AVB,AVB
80399,55438210,MAC,MAC
80406,74341010,PLD,PLD
80539,64026810,NKTR,NKTR
80681,29717810,ESS,ESS
80711,03748R74,AIV,AIV
80913,819010,ACS,ACS
81045,75610910,O,O
81055,14040H10,COF,COF
81061,58155Q10,MCK,MCK
81138,3760410,APOL,APOL
81481,25674610,DLTR,DLTR
81540,3.07E+13,ABC,ABC
81655,23719410,DRI,DRI
81675,53223X10,LSI,LSI
81677,92974010,WAB,WAB
81696,25470M10,DISH,DISH
81736,76115210,RMD,RMD
81774,35671D85,FCX,FCX
81857,13342B10,CAM,CAM
82196,24791620,DNR,DNR
82298,25271C10,DO,DO
82303,G3223R10,RE,RE
82307,23918K10,DVA,DVA
82515,73278L10,POOL,POOL
82581,80640710,HSIC,HSIC
82598,64110D10,NTAP,NTAP
82618,80004C10,SNDK,SNDK
82642,51843910,EL,EL
82643,52977110,LXK,LXK
82651,94184810,WAT,WAT
82686,17737610,CTXS,CTXS
82775,41651510,HIG,HIG
83111,1535110,ALXN,ALXN
83143,46284V10,IRM,IRM
83421,24237020,DF,DF
83621,03662Q10,ANSS,ANSS
83699,88833920,TIE,TIE
83906,85891210,SRCL,SRCL
83976,289620,ANF,ANF
84020,44993410,RX,RX
84032,63707110,NOV,NOV
84129,98970110,ZION,ZION
84342,61174210,MNST,MNST
84342,61174210,MWW,MWW
84373,74834L10,DGX,DGX
84381,77390310,ROK,ROK
84761,87405410,TTWO,TTWO
84767,1527110,ARE,ARE
84769,3209510,APH,APH
84788,2313510,AMZN,AMZN
84820,G7T96K10,MIL,MIL
85032,74912110,Q,Q
85035,74736K10,QRVO,QRVO
85058,10112110,BXP,BXP
85072,75121210,RL,RL
85257,3110010,AME,AME
85265,78440X10,SLG,SLG
85269,91913Y10,VLO,VLO
85348,98849810,YUM,YUM
85459,12541W20,CHRW,CHRW
85592,74340W10,PLD,PLD
85593,825210,AMG,AMG
85621,59268810,MTD,MTD
85631,5276910,ADSK,ADSK
85675,29414D10,EVHC,EVHC
85753,9.23E+14,VRSN,VRSN
85792,7.48E+14,PWR,PWR
85913,57190320,MAR,MAR
85914,8651610,BBY,BBY
85926,81211K10,SEE,SEE
85963,11132010,BRCM,BRCM
85991,52729N30,LVLT,LVLT
86021,50241310,LLL,LLL
86102,31421110,FII,FII
86111,03027X10,AMT,AMT
86136,81685110,SRE,SRE
86158,19244610,CTSH,CTSH
86176,49558210,KG,KG
86228,76075910,RSG,RSG
86314,G9829410,XL,XL
86339,22822V10,CCI,CCI
86356,27864210,EBAY,EBAY
86580,67066G10,NVDA,NVDA
86725,53217V10,LIFE,LIFE
86756,71340910,PBG,PBG
86783,09857L10,BKNG,BKNG
86799,12653C10,CNX,CNX
86804,47231910,JEF,JEF
86868,38141G10,GS,GS
86946,76171310,RAI,RAI
86964,31561610,FFIV,FFIV
86979,48203R10,JNPR,JNPR
86996,78410G10,SBAC,SBAC
87055,22160K10,COST,COST
87070,44368310,HCBK,HCBK
87137,25179M10,DVN,DVN
87184,75657710,RHT,RHT
87267,09247X10,BLK,BLK
87292,69525710,PTV,PTV
87299,00971T10,AKAM,AKAM
87333,63935M20,NAVI,NAVI
87378,16117M10,CHTR,CHTR
87432,00846U10,A,A
87445,87936010,TDY,TDY
87447,91131210,UPS,UPS
87541,69515610,PKG,PKG
87657,2.82E+14,EW,EW
87717,30213010,EXPD,EXPD
87842,59156R10,MET,MET
88031,61174X10,MNST,MNST
88313,47102X10,JNS,JNS
88352,4.61E+64,ISRG,ISRG
88436,G3040110,ENDP,ENDP
88446,45232710,ILMN,ILMN
88590,2.65E+14,DNB,DNB
88661,87603010,TPR,TPR
88664,42628110,JKHY,JKHY
88668,61166W10,MON,MON
88837,H2906T10,GRMN,GRMN
88845,00817Y10,AET,AET
88853,34341210,FLR,FLR
88873,37940X10,GPN,GPN
89002,1858110,ADS,ADS
89003,31620M10,FIS,FIS
89004,30249U10,FTI,FTI
89006,60920710,MDLZ,MDLZ
89014,77434110,COL,COL
89017,G9662910,WLTW,WLTW
89070,98956P10,ZBH,ZBH
89071,G1151C10,ACN,ACN
89105,48116510,JOY,JOY
89179,3675210,ANTM,ANTM
89195,74251V10,PFG,PFG
89216,00508Y10,AYI,AYI
89217,00751Y10,AAP,AAP
89258,74432010,PRU,PRU
89269,15135B10,CNC,CNC
89301,36467W10,GME,GME
89393,64110L10,NFLX,NFLX
89508,14313010,KMX,KMX
89509,17179810,XEC,XEC
89525,20030N10,CMCSA,CMCSA
89533,98313410,WYNN,WYNN
89565,20030N20,CMCSK,CMCSK
89617,29444U70,EQIX,EQIX
89626,12572Q10,CME,CME
89641,G7945M10,STX,STX
89757,81235010,SHLD,SHLD
89813,58405U10,MHS,MHS
89866,50188920,LKQ,LKQ
89954,25490A30,DTV,DTV
90038,04621X10,AIZ,AIZ
90071,62937750,NRG,NRG
90110,44106010,HSP,HSP
90162,37247D10,GNW,GNW
90199,12504L10,CBRE,CBRE
90215,79466L30,CRM,CRM
90248,25754A20,DPZ,DPZ
90272,94946T10,WCG,WCG
90305,30225T10,EXR,EXR
90319,02079K30,GOOG,GOOG
90319,02079K30,GOOGL,GOOGL
90373,25386810,DLR,DLR
90386,61945C10,MOS,MOS
90441,90130A30,NWS,NWS
90441,90130A30,NWSA,NWSA
90441,90130A30,FOXA,FOXA
90442,90130A40,NWS,NWS
90442,90130A40,FOX,FOX
90454,57060D10,MKTX,MKTX
90505,51783410,LVS,LVS
90520,15087010,CE,CE
90537,G6543110,NE,NE
90601,63110310,NDAQ,NDAQ
90609,67000610,NOVL,NOVL
90664,25213110,DXCM,DXCM
90805,25470F10,DISCA,DISCA
90808,30212P30,EXPE,EXPE
90829,12526910,CF,CF
90880,03076C10,AMP,AMP
90993,45866F10,ICE,ICE
91041,53803410,LYV,LYV
91063,92553P20,VIA,VIA
91063,92553P20,VIAB,VIAB
91068,16965610,CMG,CMG
91103,91004710,UAL,UAL
91143,62949110,NYX,NYX
91152,89364110,TDG,TDG
91207,85590A40,HOT,HOT
91233,57636Q10,MA,MA
91391,97382A30,WIN,WIN
91392,98310W10,WYND,WYND
91416,41034510,HBI,HBI
91461,95980210,WU,WU
91547,52532710,LDOS,LDOS
91556,77829610,ROST,ROST
91611,33643310,FSLR,FSLR
91650,84756010,SE,SE
91668,44980X10,IPGP,IPGP
91849,11133T10,BR,BR
91883,88732J20,TWC,TWC
91926,24736170,DAL,DAL
91937,87259010,TMUS,TMUS
92121,25470910,DFS,DFS
92156,G2554F11,COV,COV
92157,H8498910,TEL,TEL
92239,20605P10,CXO,CXO
92293,88076W10,TDC,TDC
92322,90384S30,ULTA,ULTA
92402,55354G10,MSCI,MSCI
92481,96144310,GHC,GHC
92602,71817210,PM,PM
92611,92826C83,V,V
92614,3042010,AWK,AWK
92624,64118K20,FRC,FRC
92655,91324P10,UNH,UNH
92709,81106510,SNI,SNI
92778,25470F30,DISCK,DISCK
92890,58283910,MJN,MJN
92988,14170T10,CFN,CFN
93002,11135F10,AVGO,AVGO
93089,92345Y10,VRSK,VRSK
93096,25667710,DG,DG
93132,3.50E+14,FTNT,FTNT
93159,G9402V10,ESV,ESV
93422,74733V10,QEP,QEP
93429,12503M10,CBOE,CBOE
93436,88160R10,TSLA,TSLA
83435,94833210,YHO,AABA
88991,70454920,BTU,BTUUQ
88991,70454910,BTU,BTUUQ
11754,27746110,EK,EKDKQ
14276,27746140,KODK,EKDKQ
15560,75043810,RSH,RSHCQ
