PERMNO,CUSIP,TICKER_CRDS,TICKER,Unnamed: 4
13318,98581710,YELP,YELP,
13319,G3758510,GLOG,GLOG,
13320,02917L10,ARCT,ARCT,
13321,M2059810,CSTE,CSTE,
13323,29355A10,ENPH,ENPH,
13324,36322520,GALT,GALT,
13325,59032820,MACK,MACK,
13326,55405Y10,MTSI,MTSI,
13328,90045020,HEAR,HEAR,
13329,12769A10,PRSS,PRSS,
13331,00489C10,AQ,AQ,
13332,04013V10,ACRE,ACRE,
13336,28014Q10,EDG,EDG,
13337,34984V20,FET,FET,
13340,37518Q10,GIG,GIG,
13342,45672H10,BLOX,BLOX,
13343,55345K10,MRC,MRC,
13358,76131V20,RPAI,RPAI,
13367,89969Q10,TUMI,TUMI,
13373,29482P10,EAC,EAC,
13374,29413T10,ENVI,ENVI,
13375,31660B10,FRGI,FRGI,
13377,74342410,PFPT,PFPT,
13378,30043910,EVRY,EVRY,
13380,9.26E+13,TCPC,TCPC,
13382,26922A30,ALFA,ALFA,
13384,29977G10,EVER,EVER,
13385,45253620,IMUC,IMUC,
13396,87386810,TAHO,TAHO,
13399,88688510,TLYS,TLYS,
13400,93042710,WAGE,WAGE,
13402,05070J10,ADNC,ADNC,
13408,45173010,IRG,IRG,
13410,86845910,SUPN,SUPN,
13411,14147L10,TROV,TROV,
13412,45166V10,IDEX,IDEX,
13429,1449110,ALEX,ALEX,
13452,G9087Q10,TROX,TROX,
13453,16357220,CEMI,CEMI,
13454,30061450,EXA,EXA,
13456,88156910,TSRO,TSRO,
13500,03216B20,AMRE,AMRE,
13502,29286C10,EGL,EGL,
13508,63888U10,NGVC,NGVC,
13520,17160410,CHUY,CHUY,
13524,24507710,DFRG,DFRG,
13525,26658A10,DRTX,DRTX,
13526,29788A10,EOPN,EOPN,
13527,33829M10,FIVE,FIVE,
13528,30263Y10,FSBW,FSBW,
13532,44249610,HBMD,HBMD,
13533,44915N10,HPTX,HPTX,
13534,43787210,HTBI,HTBI,
13535,48657710,KYAK,KYAK,
